"","subject","activity","mean_fast_fourier_transform_bodyaccmag_minus_mean","mean_fast_fourier_transform_bodyaccmag_minus_std","mean_fast_fourier_transform_bodyaccmag_minus_mean_freq","mean_fast_fourier_transform_bodybodyaccjerkmag_minus_mean","mean_fast_fourier_transform_bodybodyaccjerkmag_minus_std","mean_fast_fourier_transform_bodybodyaccjerkmag_minus_mean_freq","mean_fast_fourier_transform_bodybodygyromag_minus_mean","mean_fast_fourier_transform_bodybodygyromag_minus_std","mean_fast_fourier_transform_bodybodygyromag_minus_mean_freq","mean_fast_fourier_transform_bodybodygyrojerkmag_minus_mean","mean_fast_fourier_transform_bodybodygyrojerkmag_minus_std","mean_fast_fourier_transform_bodybodygyrojerkmag_minus_mean_freq"
"1",7,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"2",21,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"3",18,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"4",11,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"5",20,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"6",22,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"7",26,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"8",6,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"9",19,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
"10",14,"WALKING",-0.585962696268539,-0.659531216655476,0.0768760112631957,-0.620789916331592,-0.640076803144351,0.173219742700723,-0.697411069729937,-0.699976372277643,-0.0415636227771787,-0.779767633083527,-0.792190209274884,0.126707820497791
